scenario,model_name,task,auroc,f1,balanced_accuracy,ece
raw,retfound_oct,amd,0.493755,0.018365,0.502088,0.30759
raw,retfound_oct,dr,0.537276,0.052326,0.503733,0.086894
raw,retfound_oct,glaucoma,0.840182,0.706731,0.752579,0.072738
raw,mirage_slo,amd,0.505427,0.513147,0.50387,0.360687
raw,mirage_slo,dr,0.515012,0.0,0.5,0.118511
raw,mirage_slo,glaucoma,0.427693,0.655914,0.499318,0.226848
thresholded,retfound_oct,amd,0.493755,0.525436,0.5,0.30759
thresholded,retfound_oct,dr,0.537276,0.167789,0.535062,0.086894
thresholded,retfound_oct,glaucoma,0.840182,0.756335,0.750975,0.072738
thresholded,mirage_slo,amd,0.505427,0.525461,0.500309,0.360687
thresholded,mirage_slo,dr,0.515012,0.136179,0.508601,0.118511
thresholded,mirage_slo,glaucoma,0.427693,0.655613,0.498977,0.226848
thresholded,mean_prob_oct_slo,amd,0.500286,0.525695,0.500518,0.058118
thresholded,mean_prob_oct_slo,dr,0.523294,0.147059,0.507283,0.046482
thresholded,mean_prob_oct_slo,glaucoma,0.821346,0.735266,0.724422,0.138011
thresholded,confidence_weighted_oct_slo,amd,0.5006,0.525436,0.5,0.109083
thresholded,confidence_weighted_oct_slo,dr,0.530055,0.165836,0.528742,0.030613
thresholded,confidence_weighted_oct_slo,glaucoma,0.817857,0.735266,0.724422,0.092072
thresholded,flair_slo,amd,0.5066,0.524526,0.499474,0.143827
thresholded,flair_slo,dr,0.52664,0.160221,0.500548,0.411149
thresholded,flair_slo,glaucoma,0.695166,0.674039,0.575359,0.051162
thresholded,ret_clip_slo,amd,0.503488,0.524606,0.499115,0.143629
thresholded,ret_clip_slo,dr,0.518498,0.161623,0.508599,0.40917
thresholded,ret_clip_slo,glaucoma,0.730481,0.683851,0.590534,0.050774
